Reference, Quantity, Value, Footprint, Datasheet, DESCRIPTION, MANUFACTURER, MF, MP, MPN, Mouser, MAXIMUM_PACKAGE_HEIGHT, PARTREV, STANDARD
B1 B2 ,2,"BUT","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2","https://www.mouser.fr/datasheet/2/60/kmr2-1841878.pdf","Tactile Switches SPST Rnd Bttn Gull .05A 32VDC 1W SMD","C&K","","","KMR221GLFS","611-KMR221G-LFS","","",""
C10 C14 ,2,"10uF","Capacitor_SMD:C_1206_3216Metric","https://www.mouser.fr/ProductDetail/KEMET/C1206C106K8PAC?qs=sGAEpiMZZMukHu%252BjC5l7Yfm8EG1Tep8PDb7NmjFNGjE%3D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF+/-10% 25V X5R 3216","KEMET","","","C1206C106K8PAC","80-C1206C106K8PAC","","",""
C11 C15 ,2,"4.7uF","Capacitor_SMD:C_1206_3216Metric","https://www.mouser.fr/ProductDetail/KEMET/C1206C475K3RACAUTO7210?qs=sGAEpiMZZMsh%252B1woXyUXj7qs3sRO0EGNkZjtEy96eAA%3D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 4.7uF X7R 1206 10% AEC-Q200","KEMET","","","C1206C475K3RACAUTO7210","80-C1206C475K3RAULR","","",""
C1 C8 C9 C12 ,4,"100nF","Capacitor_SMD:C_0603_1608Metric","https://www.mouser.fr/ProductDetail/KEMET/C0603C104J4RAC?qs=sGAEpiMZZMsh%252B1woXyUXj0IF1fNKGVektSWC2d5zYTA%3D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.1uF X7R 0603 5%","KEMET","","","C0603C104J4RAC","80-C0603C104J4RAC","","",""
C2 C3 C7 C13 C16 ,5,"1uF","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.fr/ProductDetail/Taiyo-Yuden/EMK212B7105KG-T?qs=sGAEpiMZZMukHu%252BjC5l7YV1nw42DH00CAuZtkviP1Nc%3D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 16VDC 1uF 10% X7R","Taiyo Yuden","","","EMK212B7105KG-T","963-EMK212B7105KG-T","","",""
D10 ,1,"RB060LAM-40TFTR","Diode_SMD:D_SOD-128","https://www.mouser.fr/ProductDetail/ROHM-Semiconductor/RB060LAM-40TFTR?qs=HXFqYaX1Q2z5zhuozTBNtg%3D%3D","Schottky Diodes & Rectifiers 40V VR 2A 0.45V VF PMDTM; SOD-128","ROHM Semiconductor","","","RB060LAM-40TFTR","755-RB060LAM-40TFTR","","",""
D1 D2 D4 D5 D6 D7 D11 ,7,"LED","LED_SMD:LED_0805_2012Metric","~"
D9 ,1,"IN-PI554FCH","1KiCadLib:LED-DIGITAL-IN-PI554FCH","https://www.mouser.fr/ProductDetail/Inolux/IN-PI554FCH?qs=sGAEpiMZZMv0NwlthflBiy%2F2NVs8oN%2FiwKYnqRitEGY%3D","Standard LEDs - SMD RGB Digital LED","Inolux","","","IN-PI554FCH","743-IN-PI554FCH","","",""
H1 H2 H3 H4 ,4,"Mount","MountingHole:MountingHole_2.2mm_M2_Pad","~","~","~","","","~","~","","",""
J1 J6 J7 J10 ,4,"PIR SENSOR","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","~","~","","","~","~","","",""
J2 ,1,"OLED-128X64","1KiCadLib:OLED-128X64","~","~","~","","","~","~","","",""
J3 ,1,"BATT","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~","~","~","","","~","~","","",""
J4 ,1,"CON_USB_GCT_USB4105_REVA","1KiCadLib:CON_USB_GCT_USB4105_REVA","https://www.mouser.fr/ProductDetail/GCT/USB4105-GF-A-060?qs=QNEnbhJQKvY2mocwNJzgfA%3D%3D","USB Connectors USB Type C, 2.0 SMT PCB Top Mnt .60mm","GCT","","","USB4105-GF-A-060","640-USB4105-GF-A-060","3.31 mm","0.2","Manufacturer Recommendations"
J5 ,1,"SWITCH","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_KingTek_DSHP04TJ_W5.25mm_P1.27mm_JPin","~"
J8 ,1,"PROG","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","~","~","","","~","~","","",""
J9 ,1,"UART","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
JP1 JP2 JP3 JP4 ,4,"WIRE","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"2.2uH","Inductor_SMD:L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","https://www.mouser.fr/ProductDetail/Murata-Electronics/DFE252012P-2R2M%3dP2?qs=KuGPmAKtFKXLyjzo39FSsQ%3D%3D","Fixed Inductors 2.2uH 84mOhms3.0A +/-20% 2.5x2.0x1.2mm","Murata Electronics","","","DFE252012P-2R2M=P2","81-DFE252012P-2R2MP2","","",""
Q1 ,1,"MBT3904DW1","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.onsemi.com/pub_link/Collateral/MBT3904DW1T1-D.PDF","Bipolar Transistors - BJT SS SC88 GP XSTR NPN","onsemi","","","MBT3904DW1T1H","863-MBT3904DW1T1H","","",""
Q2 ,1,"MIC94052YC6-TR","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.mouser.fr/datasheet/2/268/mic94052_53-1891424.pdf","MOSFET 1.8V-rated PFET","Microchip Technology / Micrel","","","MIC94052YC6-TR","998-MIC94052YC6TR","","",""
